CRPName,CID,Party,DistIDRunFor,State,District
"Garrett, Scott",N00000743,R,NJ05,NJ,5
"Garves, Ben",N00038786,D,SC06,SC,6
"Garza, Julio",N00038833,R,TX29,TX,29
"Gaskill, William R.",N00039669,R,UTS2,UT,S2
"Gaskins, Samuel Lewis",N00036716,D,KY01,KY,1
"Gates, Michelle",N00040492,I,GAS2,GA,S2
"Gazlay, Rich",N00039505,R,FL01,FL,1
"Geissinger, Glenn",N00037614,R,PA17,PA,17
"Gentile, Vinnie",N00037000,D,NY11,NY,11
"George, Scott",N00038278,R,OH08,OH,8
"Gerlach, Jeffrey",N00036233,R,CA01,CA,1
"Germalic, James",N00028857,I,NDS1,ND,S1
"Gerrard, Roger",N00036557,3,MS03,MS,3
"Gerrard, Theodore",N00032675,3,MI03,MI,3
"Gerritson, Becky",N00038244,R,AL02,AL,2
"Gerson, David",N00034896,R,MN02,MN,2
"Gesty, Scott",N00034977,L,DE01,DE,1
"Geymann, Brett",N00039105,R,LA03,LA,3
"Gianoutsos, Ted",N00026251,I,AKS2,AK,S2
"Gibson, Charlotte",N00038658,D,CA44,CA,44
"Gigliotti, Lou",N00038283,R,TX04,TX,4
"Gilbert, Frank",N00039035,L,ARS2,AR,S2
"Gilbert, Melissa",N00037524,D,MI08,MI,8
"Gilder, Lawrence",N00039412,R,NY11,NY,11
"Gildersleeve, Tim",N00038195,I,CAS1,CA,S1
"Giles, Jimmy",N00038710,R,MS03,MS,3
"Gill, David",N00026221,I,IL13,IL,13
"Gillam, Le Roy",N00040298,L,LAS2,LA,S2
"Gilmore, Jim",N00028961,R,PRES,PR,ES
"Gioia, Lisa Lane",N00040021,L,MI10,MI,10
"Giove, Salvadore",N00039731,R,AZ03,AZ,3
"Giroux, Dan",N00038258,D,KS04,KS,4
"Gitsham, Denise",N00038412,R,CA52,CA,52
"Giuffre, John",N00032250,3,HIS1,HI,S1
Gladney Mark,N00038714,D,MS04,MS,4
"Gladstone, Steve",N00037309,I,MDS2,MD,S2
"Glassheim, Eliot",N00039938,D,NDS1,ND,S1
"Glenn, Darryl",N00036919,R,COS1,CO,S1
"Glidewell, Pete",N00038270,D,NC06,NC,6
"Godwin, Mary Elisabeth",N00038560,R,FLS2,FL,S2
"Godwin, Shelia L.",N00039849,I,TN08,TN,8
"Goff, Jonathan",N00036137,R,MD01,MD,1
"Golderer, Bill",N00038451,D,PA07,PA,7
"Gonzales, Regino James",N00036950,R,TX18,TX,18
"Gonzalez, Evelio",N00038423,R,FL14,FL,14
"Gonzalez, Jackee",N00039714,R,VA04,VA,4
"Gonzalez, Rey Jr",N00038840,R,TX34,TX,34
"Gonzalez, Roman",N00039756,I,CA40,CA,40
"Gonzalez, Travis",N00038703,D,MO06,MO,6
"Goode, Greg",N00039792,R,KS03,KS,3
"Googe, Sue",N00038434,R,NC04,NC,4
"Goossen, David",N00036342,I,NV03,NV,3
"Gordon, Brian A",N00031527,D,PA02,PA,2
"Gordon, Dave",N00038753,D,NY22,NY,22
"Gorman, Jeff",N00036612,R,MI13,MI,13
"Goss, Chauncey",N00033740,R,FL19,FL,19
"Gottschalk, Karla",N00040115,R,HIS1,HI,S1
"Gough, Bob",N00034718,D,MO05,MO,5
"Gould, James",N00039057,R,KYS2,KY,S2
"Gourdoux, Mary L",N00039162,3,TX16,TX,16
"Gouron, Max",N00039300,D,CA45,CA,45
"Gowan, David",N00038407,R,AZ01,AZ,1
"Grabelle, Justin",N00038421,R,FL11,FL,11
"Gracia, Julio",N00040462,I,VA08,VA,8
"Gradert, Jamieson",N00037050,R,NH01,NH,1
"Graeser, Ron",N00013685,3,MI02,MI,2
"Graham, Devin",N00040255,I,LA06,LA,6
"Graham, Gwen",N00035688,D,FL02,FL,2
"Graham, Jack",N00039220,R,COS1,CO,S1
"Graham, Malcolm",N00035449,D,NC12,NC,12
"Grandanette, Joe",N00036533,R,IA03,IA,3
"Grappo, President Cristina",N00039913,D,CAS1,CA,S1
"Grassley, Chuck",N00001758,R,IAS1,IA,S1
"Gray, Casey",N00037259,R,CA28,CA,28
"Gray, Jim",N00039052,D,KYS2,KY,S2
"Gray, Phil",N00039153,L,TX01,TX,1
"Grayson, Alan",N00028418,D,FLS2,FL,S2
"Grayson, Dena",N00037444,D,FL09,FL,9
"Grayson, Derrick",N00035476,R,GAS2,GA,S2
"Grayson, Richard",N00040108,D,AKS2,AK,S2
"Grayson, Richard",N00002776,D,ID02,ID,2
"Graziani, John",N00036140,R,MDS2,MD,S2
"Green, Maria",N00040442,3,MI08,MI,8
"Greene, Russell",N00039039,D,CAS1,CA,S1
"Greene, Ryan",N00039183,D,WY01,WY,1
"Greenstein, Mark",N00040552,I,CT05,CT,5
"Greer, Brad",N00039325,R,TN08,TN,8
"Grey, Clive",N00039038,I,CAS1,CA,S1
"Gribben, Wendy",N00039269,I,WI08,WI,8
"Griego, Harry",N00039597,R,VA06,VA,6
"Grier, Michael Jr",N00039575,L,SC01,SC,1
"Griffin, Calvin",N00036628,3,HI01,HI,1
"Griffin, Kevin",N00038566,D,NC13,NC,13
"Griffin, Morris F",N00032210,D,CA44,CA,44
"Griffin, Taylor",N00035683,R,NC03,NC,3
"Griffith, Bruce",N00040426,L,CO04,CO,4
"Grimsley, Warren",N00037447,3,IL05,IL,5
"Grisham, Michelle Lujan",N00029400,D,NM01,NM,1
"Groen, Ross",N00039073,R,AZ09,AZ,9
"Grundmann, Don",N00012707,I,CAS1,CA,S1
"Guillory, Elbert",N00038686,R,LA04,LA,4
"Guinta, Frank",N00030801,R,NH01,NH,1
"Gumina, Tony",N00039067,R,NVS2,NV,S2
"Gurfein, David",N00037611,R,NY04,NY,4
"Guthrie, Gil",N00040458,L,OR04,OR,4
"Guthrie, Sean",N00037568,I,FLS2,FL,S2
"Gutzeit, Maria",N00037176,D,CA25,CA,25
"Guzman, David",N00039494,D,CA29,CA,29
"Haas, Bill",N00013232,D,MO01,MO,1
"Haas, Erwin",N00004172,L,MI02,MI,2
"Haemmerle, Eric",N00038279,R,OH08,OH,8
"Hafner, Eric",N00040141,R,HI02,HI,2
"Hagan, Bob",N00012485,D,OHS2,OH,S2
"Haggerty, Edward",N00038452,I,PA16,PA,16
"Hale, John David",N00039050,L,KYS2,KY,S2
"Hall, Ray",N00038796,R,TX04,TX,4
"Hall, Robert",N00039104,R,IN09,IN,9
"Haller, Zach",N00040123,I,WAS2,WA,S2
"Halverson, Mark",N00040250,I,LA04,LA,4
"Halvorson, Art",N00035461,R,PA09,PA,9
"Hamilton, Eddie",N00028141,R,NVS2,NV,S2
"Hamilton, John D",N00027220,D,RI02,RI,2
"Hamilton, Merissa",N00040291,L,AZS1,AZ,S1
"Hammons, Bill",N00029475,3,COS1,CO,S1
"Hanabusa, Colleen",N00025881,D,HI01,HI,1
"Hanania, Jason",N00039923,I,CAS1,CA,S1
"Hanna, Richard",N00030197,R,NY22,NY,22
"Hantsch, Joseph J",N00038646,R,IL08,IL,8
"Harbach, Scott",N00040128,D,WIS2,WI,S2
"Hardiman, Tio",N00037591,D,IL01,IL,1
"Hardin, Chris",N00038435,R,NC06,NC,6
"Hardin, Zeffen",N00038830,R,TX28,TX,28
"Hardwick, Alan",N00036539,R,MI05,MI,5
"Hardy, Charlie",N00036070,D,WY01,WY,1
"Hares, Abdul Karim",N00040110,I,AZS1,AZ,S1
"Harlan, Patrick",N00038667,R,IL17,IL,17
"Harlow, Bob",N00039077,D,CA18,CA,18
"Harlow, David",N00032364,I,OH10,OH,10
"Harrington, John IV",N00037194,R,TX27,TX,27
"Harrington, Paul J.",N00040256,I,MA09,MA,9
"Harris, James",N00028517,D,GA08,GA,8
"Harris, Kamala D",N00036915,D,CAS1,CA,S1
"Harris, Napoleon",N00035201,D,ILS2,IL,S2
"Harris-Till, Joshua",N00036573,D,OK02,OK,2
"Hartman, Christina",N00037296,D,PA16,PA,16
"Hasan, Shariff M",N00039673,R,CA37,CA,37
"Hassan, Ahmad",N00027939,D,TX22,TX,22
"Hassan, Maggie",N00038397,D,NHS1,NH,S1
"Haugen, Isaac",N00039527,R,ID01,ID,1
"Haussmann, Arthur T Jr",N00040386,3,NJ07,NJ,7
"Hawks, Joel",N00039428,D,VA07,VA,7
"Hawks, Paula",N00037530,D,SD01,SD,1
"Hay, Tommy N",N00031784,R,TN06,TN,6
"Hayden, Tiffany",N00040022,L,MI13,MI,13
"Hayes, Chris",N00035173,L,AR02,AR,2
"Heaney, Andrew",N00037528,R,NY19,NY,19
"Heard, Craig P.",N00039312,R,NJ07,NJ,7
"Hebert, Jacob ""Dorian Phibian''",N00040246,D,LA03,LA,3
"Hebert, Troy",N00040300,I,LAS2,LA,S2
"Heck, Joe",N00031244,R,NVS2,NV,S2
"Heck, Thomas",N00039721,R,NVS2,NV,S2
"Heikes, Gerald L",N00039991,R,AK01,AK,1
"Heine, Bill",N00039109,R,MD02,MD,2
"Heineman, Lisa",N00039407,I,NE03,NE,3
"Heinrich, Brian",N00039418,R,OR01,OR,1
"Helland, Bob",N00038267,D,MN06,MN,6
"Hendricks, Derrick James",N00040453,3,OH08,OH,8
"Henley, Gardenia",N00036304,D,NC12,NC,12
"Hennager, Jim",N00040412,3,IAS1,IA,S1
"Hennemann, Marc",N00040048,R,WA02,WA,2
"Henning, Hank",N00039548,R,NC13,NC,13
"Herd, Mark",N00036506,L,CAS1,CA,S1
"Hernandez, Roger",N00038610,D,CA32,CA,32
"Hernick, Charles",N00038850,R,VA08,VA,8
"Hetrick, Jeff",N00040392,L,NJ11,NJ,11
"Hibler, William D",N00039989,D,AK01,AK,1
"Hicks, Angela",N00031478,R,GA08,GA,8
"Hicks, Kerry",N00038589,L,AR04,AR,4
"Higgins, Jim",N00005076,L,MO02,MO,2
"Hight, Steve",N00039689,D,NC02,NC,2
"Hill, Baron",N00003875,D,INS2,IN,S2
"Hill, Calvin Sr",N00040455,I,OH13,OH,13
"Hill, Christopher",N00039155,L,TX02,TX,2
"Hill, Randal",N00037272,D,FL24,FL,24
"Hill, Sid",N00032983,U,AKS2,AK,S2
"Hill, Tom",N00036312,D,NC11,NC,11
"Hinkle, Jim",N00039666,3,SCS1,SC,S1
"Hinojosa, Ruben",N00006008,D,TX15,TX,15
"Hinson, Amanda Lynn",N00038700,R,MN07,MN,7
"Hinz, Lynette",N00039990,D,AK01,AK,1
"Hird, Diana",N00039266,D,NY18,NY,18
"Hixon, Robert",N00040159,I,AZ04,AZ,4
"Hobson, Rickey",N00036471,D,TN08,TN,8
"Hodges, Robert",N00039488,R,CA10,CA,10
"Hoeft, Mary",N00039863,D,WI07,WI,7
"Hoenig, Myles B",N00039120,3,MD07,MD,7
"Hoeven, John",N00031688,R,NDS1,ND,S1
"Hoffman, Ralph",N00039606,I,WI08,WI,8
"Hogan, Dan",N00039802,L,MO03,MO,3
"Hogg, Rob",N00038396,D,IAS1,IA,S1
"Hohe, Steve",N00039530,L,KS03,KS,3
"Holcomb, Eric",N00037159,R,INS2,IN,S2
"Holden, Kip",N00039681,D,LA02,LA,2
"Holder, Bryan Jack",N00036798,L,IA03,IA,3
"Holliday, Ed",N00037044,R,MS01,MS,1
"Holloman, Marilyn Davis",N00034928,I,FL18,FL,18
"Holloway, Lashonda",N00038415,D,FL05,FL,5
"Holmes, Greg",N00034227,R,MDS2,MD,S2
"Homquist, Larry",N00039063,R,NCS2,NC,S2
"Honda, Mike",N00012611,D,CA17,CA,17
"Honegger, Barbara",N00039744,I,CA20,CA,20
"Honeychurch, Tutz",N00040155,D,HIS1,HI,S1
"Honeycutt, Raymond",N00039846,R,TN08,TN,8
"Hooe, Joey",N00039061,R,MDS2,MD,S2
"Horne, Jenny",N00038453,R,SC01,SC,1
"Horne, Tom",N00034596,R,WA05,WA,5
"Horning, Andrew",N00039787,L,IN08,IN,8
"Houchin, Erin",N00037427,R,IN09,IN,9
"Hougo, Von",N00039915,R,CAS1,CA,S1
"Houlihan, Rory",N00039051,D,KYS2,KY,S2
"House, Phillip",N00036914,D,CAS1,CA,S1
"House, Shawn Patrick",N00040460,L,PA16,PA,16
"Howard, Albert",N00037002,R,CAS1,CA,S1
"Howard, Frank",N00037450,R,MD06,MD,6
"Howard, Julia",N00039552,R,NC13,NC,13
"Howarth, Tom",N00039855,D,VA06,VA,6
"Howbert , Donald",N00040427,I,CO04,CO,4
"Howe, John",N00038266,R,MN02,MN,2
"Howell, George B.",N00039847,R,TN08,TN,8
"Howell, Kevin",N00039095,R,IN03,IN,3
"Howser, David L.",N00040377,L,MD06,MD,6
"Huckabee, Mike",N00007539,R,PRES,PR,ES
"Hudock, Brandon Gene",N00039663,I,PAS1,PA,S1
"Hullum, David Matthew Mr.",N00039820,I,OK01,OK,1
"Hunkin-Finau, Vaitinasa Salu",N00039995,D,AS00,AS,0
"Hunt, Mark",N00009768,D,WV02,WV,2
"Hurley, Russ",N00039140,D,OH02,OH,2
"Hurst, David",N00038718,D,NC03,NC,3
"Hurt, Robert",N00031265,R,VA05,VA,5
"Ilonummi, Kari",N00040050,I,WA02,WA,2
"Imrie, Curtis",N00006204,I,CO05,CO,5
"Invictus, Augustus Sol",N00037398,L,FLS2,FL,S2
"Ireton, Jim",N00038690,D,MD01,MD,1
"Iron Eyes, Chase",N00039554,D,ND01,ND,1
"Isa, Lei Ahu",N00040135,D,HI01,HI,1
"Isaacson, Steve",N00039292,L,AR03,AR,3
"Isaacson, Steve",N00040332,L,AR03,AR,3
"Isakson, Johnny",N00002593,R,GAS2,GA,S2
"Isakson, Steve",N00036499,3,CA24,CA,24
"Isner, Bob",N00039693,D,NC13,NC,13
"Israel, Steve",N00013345,D,NY03,NY,3
"Itkis, Mikhail",N00040040,I,NY10,NY,10
"Iverson, Gregg",N00013477,D,MN05,MN,5
"Iverson, Kent",N00040041,I,NY13,NY,13
"Ivey, Glenn",N00033749,D,MD04,MD,4
"Izzo, Rose",N00031603,R,DE01,DE,1
"Jackson, Charles",N00040546,I,CT01,CT,1
"Jackson, Chuck",N00007902,I,WAS2,WA,S2
"Jackson, Sean",N00039107,R,MD01,MD,1
"Jacobson, Oren",N00037182,D,IL03,IL,3
"Jaffe, Ralph",N00034192,D,MDS2,MD,S2
"Jakeman, Glenn M.",N00040055,R,WA04,WA,4
"Jameson, Scott",N00025152,L,TX03,TX,3
"Jamias, Mapu S",N00036786,D,AS00,AS,0
"Jaquess, Don",N00033660,D,TX06,TX,6
"Jarvi, Andrew",N00040456,I,OH14,OH,14
"Jawando, Will",N00037037,D,MD08,MD,8
"Jenkins, Evan",N00035531,R,WV03,WV,3
"Jenkins, Lynn",N00029077,R,KS02,KS,2
"Jenkins, Oliver",N00039262,R,LA04,LA,4
"Jhaveri, Arun",N00039429,D,WA07,WA,7
"Jindal, Bobby",N00026786,R,PRES,PR,ES
"John, Rick",N00038685,R,LA04,LA,4
"John, Rob",N00030850,I,AL02,AL,2
"Johnson, Chuck",N00039099,R,IN06,IN,6
"Johnson, Daniel",N00039141,D,OH04,OH,4
"Johnson, Gary",N00033226,L,PRES,PR,ES
"Johnson, James L Jr",N00035128,I,INS2,IN,S2
"Johnson, Jeffery C",N00027221,I,RI02,RI,2
"Johnson, Johnny",N00036081,L,TX09,TX,9
"Johnson, Lon",N00037283,D,MI01,MI,1
"Johnson, Ron",N00032546,R,WIS2,WI,S2
"Johnson, Sam",N00036859,3,MI13,MI,13
"Johnson, Sam",N00008028,R,TX03,TX,3
"Johnson, Todd",N00039543,R,NC09,NC,9
"Johnston, Gary L",N00039701,R,NV01,NV,1
"Jolly, David",N00035717,R,FL13,FL,13
"Jones Jr, J Marshall",N00040015,D,LA04,LA,4
"Jones, Andrew",N00039091,D,GA07,GA,7
"Jones, Art",N00004855,R,IL03,IL,3
"Jones, Christine",N00039732,R,AZ05,AZ,5
"Jones, Jack",N00039954,L,MD05,MD,5
"Jones, James",N00031580,R,PA02,PA,2
"Jones, Jeffrey W",N00039125,R,MD08,MD,8
"Jones, Lateresa",N00035791,3,FLS2,FL,S2
"Jones, Rafael Arden Sr",N00039068,R,NYS2,NY,S2
"Jones, Scott",N00038597,R,CA07,CA,7
"Jones, Starner",N00036992,R,MS01,MS,1
"Jones, Tim",N00040418,I,AS00,AS,0
"Jones, Tom",N00039066,3,NVS2,NV,S2
"Judge, Patty",N00039658,D,IAS1,IA,S1
"Juneau, Denise",N00038433,D,MT01,MT,1
"Jusick, James",N00039302,R,FL06,FL,6
"Kaaihue, Angela Aulani",N00040142,R,HI02,HI,2
"Kahn, Sanford W",N00006824,R,CA47,CA,47
"Kairnes, Jerry",N00039322,I,PA10,PA,10
"Kalemkarian, Timothy Charles",N00006887,R,CAS1,CA,S1
"Kander, Jason",N00036922,D,MOS1,MO,S1
"Kaplan, Anna",N00038738,D,NY03,NY,3
"Kaplan, Robert",N00040235,I,FLS2,FL,S2
"Kasich, John",N00009778,R,PRES,PR,ES
"Kasprzak, Kristin",N00039111,L,MD02,MD,2
"Kastenbaum, Diana",N00039415,D,NY27,NY,27
"Kaufman, Steve",N00040005,R,FL04,FL,4
"Kay, David",N00039177,D,WA05,WA,5
"Keady, Jim",N00039559,D,NJ03,NJ,3
"Kealy, Dwight",N00038611,R,CA36,CA,36
"Keavy, Michael",N00039949,R,FL18,FL,18
"Keenan, James",N00039811,I,NJ02,NJ,2
"Keenen, Lee",N00038823,D,TX23,TX,23
"Keener, Hayden III",N00040513,I,AZ08,AZ,8
"Kefalas, Chrys",N00037401,R,MDS2,MD,S2
"Kehoe, John",N00037289,D,NY19,NY,19
"Keith, Pam",N00036907,D,FLS2,FL,S2
"Keller, Ric",N00009614,R,FL06,FL,6
"Keller, Shalom Dovber",N00040175,I,OH01,OH,1
"Kelly, Brendan",N00036644,I,NH01,NH,1
"Kelly, Mike",N00031647,R,PA03,PA,3
"Kelly, Walter",N00036690,R,NH02,NH,2
"Kelsey, Brian",N00039152,R,TN08,TN,8
"Kemper, Nancy Jo",N00038681,D,KY06,KY,6
"Kendall, Jason",N00034394,D,FL06,FL,6
"Kendall, Paul",N00040109,R,AKS2,AK,S2
"Kender, Jeff",N00039053,D,KYS2,KY,S2
"Kennedy, John",N00026823,R,LAS2,LA,S2
"Kent, David W.",N00039840,D,TN06,TN,6
"Kern, Aliena Jeanene",N00039130,R,MN06,MN,6
"Kern, Bob",N00003777,D,IN09,IN,9
"Kersey, Andre",N00039121,I,MD07,MD,7
"Kersting, Topher",N00039834,I,TN03,TN,3
"Key, John",N00038819,R,TX19,TX,19
"Keyes, Alan",N00001885,R,ILS2,IL,S2
"Keyser, Jon",N00039046,R,COS1,CO,S1
"Khal, Sami",N00038732,R,NV03,NV,3
"Khan, Agha",N00039814,R,NJ08,NJ,8
"Khouri, Tonia",N00037029,R,IL11,IL,11
"Khoury, Anton",N00039470,I,FLS2,FL,S2
"Kiani, Kiumars G.",N00040451,I,OH01,OH,1
"Kiball, Teiji",N00038719,R,NC04,NC,4
"Kiehne, Gary",N00035555,R,AZ01,AZ,1
"Kile, Zachary",N00036676,I,AK01,AK,1
"Kim, Howard",N00040136,D,HI01,HI,1
"Kimmons, Ronald",N00039712,3,TX07,TX,7
"King, Brent",N00039304,D,FL16,FL,16
"King, Terri",N00038757,R,OH08,OH,8
"Kingson, Eric",N00037291,D,NY24,NY,24
"Kinlaw, Michael",N00037174,R,COS1,CO,S1
"Kinzler, Jay",N00038426,R,IL06,IL,6
"Kirk, Mark",N00012539,R,ILS2,IL,S2
"Kirkpatrick, Ann",N00029260,D,AZS1,AZ,S1
"Kirshner, Brandon",N00038754,I,NY25,NY,25
"Kitts, Derek",N00039176,D,VA09,VA,9
"Klausner, Howard",N00039799,R,MI14,MI,14
"Kleven, Thomas",N00039163,3,TX18,TX,18
"Kline, John",N00004436,R,MN02,MN,2
"Knepper, Howard",N00032619,I,FLS2,FL,S2
"Knezek, Erick",N00038683,R,LA03,LA,3
"Knight, Drew",N00039704,I,NV02,NV,2
"Knight, Zachary",N00039827,L,OK05,OK,5
"Knox, Berton",N00036292,R,MO05,MO,5
"Kokkonen, Matt",N00038657,R,CA24,CA,24
"Kokoski, Michael",N00036680,L,HIS1,HI,S1
"Koller, David",N00035715,D,FL11,FL,11
"Kondrat'Yev, Amanda",N00039504,D,FL01,FL,1
"Koniz, Gary",N00040213,I,FL04,FL,4
"Koniz, Gary",N00032568,I,FL04,FL,4
"Konsmo, Mike",N00038863,R,WY01,WY,1
"Kopsick, Joe",N00038648,3,IL10,IL,10
"Kozell, Rick",N00037270,R,FL18,FL,18
"Kraayvanger, Jason",N00037622,I,WI01,WI,1
"Krampe, Donald",N00034655,R,CAS1,CA,S1
"Kraus, Jason",N00039924,I,CAS1,CA,S1
"Krause, Benjamin",N00040376,L,MD04,MD,4
"Krause, Bob",N00004231,D,IAS1,IA,S1
"Krause, Joel",N00035636,R,TX26,TX,26
"Krefft, Kenneth J",N00040251,I,LA04,LA,4
"Kroeger, Gary",N00037027,D,IA01,IA,1
"Kucsma, Alex",N00039816,D,NJ12,NJ,12
"Kumar, Anil",N00035606,D,MI11,MI,11
"Kundrata, Fred",N00033822,D,OH01,OH,1
"Kuo, Peter",N00039256,R,CA17,CA,17
"Kurzon, Jeff",N00035274,D,NY07,NY,7
"Laboy, Zoe",N00036949,3,PR00,PR,0
"Ladner, Lenny",N00030308,L,TN07,TN,7
"Lafrance, Nathan",N00036418,L,AR03,AR,3
"Laird, Steven C",N00005310,L,NE02,NE,2
"Lamb, Thomas",N00039029,R,AKS2,AK,S2
"Lambert, Dennis G",N00035942,3,OH15,OH,15
"Lamp, Toby",N00039094,D,IN03,IN,3
"Lancaster, Gordon",N00039491,R,CA19,CA,19
"Landrieu, Gary",N00035021,D,LAS2,LA,S2
"Lands, Donna",N00040121,3,WAS2,WA,S2
"Lane, James",N00036981,3,NY11,NY,11
"Lang, Bob",N00031442,I,LAS2,LA,S2
"Lange, Jim",N00038629,D,FL15,FL,15
"Lange, John",N00038750,R,NY18,NY,18
"Lankford, James",N00031129,R,OKS1,OK,S1
"Lapham, Rob",N00040163,L,FL02,FL,2
"Laplante, Roger Alan",N00038598,D,CA08,CA,8
"Lapointe, Mike",N00034864,D,WA02,WA,2
"LaPolice, Alan",N00035729,I,KS01,KS,1
"Larchuk, Steve",N00027088,D,PA12,PA,12
"Larivee, Bob",N00038558,R,CAS1,CA,S1
"Larose, Josue",N00030562,D,FLS2,FL,S2
"Larose, Valencia",N00038632,D,FL19,FL,19
"Larsen, David",N00031517,R,NJ07,NJ,7
"Larson, Donald",N00038448,R,OH09,OH,9
"Laschober, Dan",N00039480,R,ORS2,OR,S2
"Lasee, Frank",N00033718,R,WI08,WI,8
"LaSpino, James",N00039291,I,NYS2,NY,S2
"Lauren, Robert",N00029470,I,CA45,CA,45
"Lavergne, Frederick",N00035093,D,NJ03,NJ,3
"Law, Alexander",N00036872,D,NJ01,NJ,1
"Lawhorn, Zane",N00040181,L,WV03,WV,3
"Lawrence, Jim",N00036698,R,NH02,NH,2
"Lawrence, Mary",N00036939,D,MN02,MN,2
"Laws, Jerry",N00037434,R,CAS1,CA,S1
"Lawson, Mark",N00035989,3,TX19,TX,19
"Leach, Ron",N00035334,D,KYS2,KY,S2
"Leahy, Patrick",N00009918,D,VTS2,VT,S2
"Leatherwood, Thomas F",N00030087,R,TN08,TN,8
"Lebeck, Jason",N00039178,L,WI01,WI,1
"Lee, Mike",N00031696,R,UTS2,UT,S2
"Lee, Patrick",N00040330,I,MOS1,MO,S1
"Lee, Susie",N00037247,D,NV04,NV,4
"Lee, Yungman",N00038746,D,NY07,NY,7
"Leeds, Robert",N00029403,R,NVS2,NV,S2
"Leef, Jeffrey A.",N00040336,R,IL07,IL,7
"Leib, Bryan",N00037292,D,PA01,PA,1
"Lemire, Jeffrey Edward",N00040177,I,RI01,RI,1
"Lessig, Lawrence",N00029841,D,PRES,PR,ES
"Levene, Allan",N00034024,R,GA14,GA,14
"Levene, Allan",N00039833,R,TN03,TN,3
"Lewallen, Shanti",N00040497,3,ORS2,OR,S2
"Lewallen, Shanti",N00040414,3,ORS2,OR,S2
"Lewis, Jim",N00039139,R,OH02,OH,2
"Lewis, Joel",N00039604,D,WI07,WI,7
"Li, Lindy",N00037054,D,PA06,PA,6
"Lieber, Arthur",N00032290,D,MO02,MO,2
"Lieberman, Richard",N00035295,D,LA06,LA,6
"Lieske, Joel",N00038769,R,OH09,OH,9
"Lightfoot, Gail",N00008132,L,CAS1,CA,S1
"Linares, Guillermo",N00039967,D,NY13,NY,13
"Lindbeck, Steve",N00039484,D,AK01,AK,1
"Lindner, Pete",N00039264,D,NY12,NY,12
"Lindsay, Jim",N00027371,L,ORS2,OR,S2
"Lingerfelt, Charles",N00031346,R,TX30,TX,30
"Linney, Rachelle Lee",N00040434,I,DE01,DE,1
"Lion, Richard",N00040491,L,CTS2,CT,S2
"Little, Mike",N00039819,I,NV04,NV,4
"Littleton, Peg",N00039219,R,COS1,CO,S1
"Llop, William",N00034773,R,GA11,GA,11
"Lloyd, James",N00038799,R,TX07,TX,7
"LoBiondo, Frank A",N00000851,R,NJ02,NJ,2
"Lochner, Bob",N00039218,R,AKS2,AK,S2
"Lombardi-Olive, Camille",N00039804,D,MO07,MO,7
"Lombardo, Robert",N00040448,L,NH01,NH,1
"Long, Wendy",N00034365,R,NYS2,NY,S2
"Longstreth, Richard",N00039771,L,CO02,CO,2
"Lopez, Adam",N00037033,D,IL18,IL,18
"Lopez, Pete",N00038444,R,NY19,NY,19
"Lopez, Selena",N00040487,I,AZS1,AZ,S1
"Lopez-Cantera, Carlos",N00037495,R,FLS2,FL,S2
"Lopez-Cervantez, Joanne",N00037493,I,AZS1,AZ,S1
"Lorentz, Michael L.",N00039144,D,OH06,OH,6
"Lougee, Matthew Alan",N00039853,I,TX03,TX,3
"Love, George Ryan",N00039832,D,TN03,TN,3
"Lowe, Thuy",N00035572,R,FL10,FL,10
"Lozano, Roy",N00037620,R,TX24,TX,24
"Lucas, Benjamin",N00039745,D,CA24,CA,24
"Lucero, Michael Glenn",N00038439,R,NM03,NM,3
"Lucius, Casey",N00037258,R,CA20,CA,20
"Luethy, Ryan",N00039935,R,MOS1,MO,S1
"Luick-Thrams, Michael",N00039659,3,IAS1,IA,S1
"Luke, Mike",N00040126,L,WAS2,WA,S2
"Lummis, Cynthia",N00029788,R,WY01,WY,1
"Lupinacci, Chad",N00038736,R,NY03,NY,3
"Luster, Reginald",N00040152,D,FLS2,FL,S2
"Luttrell, Mark",N00039324,R,TN08,TN,8
"Lynn, Eric",N00037268,D,FL13,FL,13
"Macbeth, Karen",N00039574,R,RI01,RI,1
"Macdonald, Bruce",N00039812,R,NJ04,NJ,4
"Machat, Steven",N00040207,I,FLS2,FL,S2
"Mack, Robert",N00039933,D,MOS1,MO,S1
"MacKenzie, Stephen",N00039097,R,IN05,IN,5
"Mackey, Alfred",N00039149,D,OH14,OH,14
"Maddux, Robert",N00037058,D,VA07,VA,7
"Madrigal, Ray",N00038829,D,TX27,TX,27
"Magee, Carl",N00039110,R,MD02,MD,2
"Maggitt, Jesse",N00038652,D,IL14,IL,14
"Mahendra, Bobby",N00039065,D,NVS2,NV,S2
"Mahn, Todd",N00034721,R,MO08,MO,8
"Maio, Danniel",N00028749,R,NY06,NY,6
"Makus, Eric John",N00040120,R,WAS2,WA,S2
"Malan, John",N00039975,D,WA04,WA,4
"Maldonado, David",N00039326,R,TN08,TN,8
"Malik, Dean",N00031530,R,PA08,PA,8
"Malik, Rashid",N00039518,D,GA07,GA,7
"Malin, Ed",N00040004,R,FL04,FL,4
"Malliah, Rajit",N00040384,3,NJ06,NJ,6
"Mallory, Prince",N00039581,3,SC06,SC,6
"Malnes, Brian",N00039072,I,AZ01,AZ,1
"Maloney, James",N00038590,D,AZ01,AZ,1
