CRPName,CID,Party,DistIDRunFor,State,District
"Beatty, Joyce",N00033904,D,OH03,OH,3
"Beauregard, Pierre",N00040873,D,CA50,CA,50
"Beck, Joel",N00043194,R,NV02,NV,2
"Beck, Tobi",N00040899,D,IN04,IN,4
"Becker, Nicholas",N00042935,L,TX17,TX,17
"Bedell, Eileen",N00038849,D,VA07,VA,7
"Bedolla, Mateo Morelos",N00040851,D,CA10,CA,10
"Bedwell, Danny",N00034073,L,MSS2,MS,S2
"Beeler, Jeffrey",N00043542,R,WA01,WA,1
"Been, Andrew",N00042802,D,CO07,CO,7
"Beiler, Chet",N00043240,R,PA11,PA,11
"Belanger, Brian D",N00042463,R,NH02,NH,2
"Belko, Jeremy",N00042825,R,IN01,IN,1
"Bell, Adam",N00038795,D,TX03,TX,3
"Bell, Adrienne",N00041197,D,TX14,TX,14
"Bell, Barry",N00042911,R,SC04,SC,4
"Bell, James Jerome",N00037241,I,OH11,OH,11
"Bell, Jeff",N00000871,R,NJS1,NJ,S1
"Belle, Anita",N00041735,3,MIS2,MI,S2
"Belote, Dave",N00041414,D,VA02,VA,2
"Benac, David",N00041129,D,MI06,MI,6
"Bender, Tyler",N00041953,3,IN03,IN,3
"Bennett, Douglas",N00040701,R,IL10,IL,10
"Bennett, Jim",N00041709,3,UT03,UT,3
"Bentivolio, Kerry",N00033625,R,MI11,MI,11
"Bentley, Joyce",N00043443,R,NV01,NV,1
"Bentley, Robert",N00042072,R,CA36,CA,36
"Bequette, David",N00041113,D,IL12,IL,12
"Bera, Ami",N00030717,D,CA07,CA,7
"Beretta, James",N00041272,R,ALS1,AL,S1
"Bergman, John",N00039533,R,MI01,MI,1
"Bergmann, Charlotte",N00032405,R,TN09,TN,9
"Bernal, Benny",N00037017,R,CA29,CA,29
"Berrios, Joceline",N00042804,I,FL04,FL,4
"Bershad, Ira",N00041207,D,TX26,TX,26
"Bethel, Lander",N00042231,D,TX04,TX,4
"Betts, William",N00042252,R,TX11,TX,11
"Beutler, Jaime Herrera",N00031559,R,WA03,WA,3
"Bevens, Matthew",N00042127,R,KS02,KS,2
"Beyer, Augie",N00041301,I,AZ08,AZ,8
"Beyer, Don",N00036018,D,VA08,VA,8
"Bhuiyan, Mohammad Ali",N00040822,R,GA06,GA,6
"Bhumitra, Arun K",N00043280,R,CAS2,CA,S2
"Bible, Carl",N00042042,I,TXS2,TX,S2
"Bicknell, Chadwick",N00043337,R,MO03,MO,3
"Bieda, Steve",N00042150,D,MI09,MI,9
"Biggan, John",N00041881,D,TX24,TX,24
"Biggins, Julia",N00041892,D,VA10,VA,10
"Biggs, Andy",N00039293,R,AZ05,AZ,5
"Bignell, Mark",N00042147,D,MI04,MI,4
"Bilirakis, Gus",N00027462,R,FL12,FL,12
"Billie, Joe",N00041179,R,PA05,PA,5
"Billups, Willie",N00042291,R,TX33,TX,33
"Bird, Stoney",N00043608,3,WA02,WA,2
"Birkenstock, Veronica",N00041209,R,TX26,TX,26
"Bishop, Bob",N00041918,D,AZS2,AZ,S2
"Bishop, Dave",N00042445,L,MD04,MD,4
"Bishop, Mike",N00036449,R,MI08,MI,8
"Bishop, Rob",N00025292,R,UT01,UT,1
