State,Name,CID,FECCandID
CA,Sara Jacobs,N00042081,H8CA49074
IA,Leann Jacobsen,N00041565,H8IA04114
TX,Bruce Jacobson,N00042363,S8TX00350
CA,Stephen Jaffe,N00040855,H8CA12239
MI,John James,N00041550,S8MI00372
SC,Jon James,N00040962,H8SC07014
CA,Sam Jammal,N00041463,H8CA39166
NE,Chris Janicek,N00043302,S8NE00216
CA,Phil Janowicz,N00040863,H8CA39133
FL,Edward Janowski,N00043395,S8FL00281
CA,Andrew Janz,N00040856,H8CA22139
GA,Bernard Stefan Jarvis,N00041094,H8GA01055
OH,Rob Jarvis,N00042697,H8OH15159
UT,Faeiza Javed,N00041218,H8UT03204
TX,Tahir Javed,N00042285,H8TX29086
GA,Rick Jaworski,N00040599,H8GA01030
WA,Pramila Jayapal,N00038858,H6WA07458
CA,Jrmar Jefferson,N00038596,H6CA06219
NY,Hakeem Jeffries,N00033640,H2NY10092
UT,Abe Lincoln Brian Jenkins,N00043083,S8UT00218
WV,Evan Jenkins,N00035531,S8WV00127
TX,Jonathan Jenkins,N00043494,S8TX00442
WA,Ondraus Jenkins,N00042732,H8WA08254
UT,Torrey Jenkins,N00043084,S8UT00226
OK,Dorothea Blue Jeans Jenner,N00008701,H6OK02183
MN,Adam Jennings,N00041135,H8MN03150
MO,Vince Jennings,N00041513,H8MO07181
MN,Vicki Jensen,N00041130,H8MN01253
MD,Erik Jetmir,N00042758,S8MD00286
FL,Kurt Jetta,N00041786,H8FL21055
AZ,Matt Jette,N00043274,S8AZ00262
AZ,Matt Jette,N00043001,H8AZ06111
IL,Vandana Jhingan,N00042119,H8IL08119
UT,Tim Jimenez,N00043085,S8UT00234
PA,Wade Allen Jodun,N00042204,H8PA05212
AL,Peter Joffrion,N00041056,H8AL05190
FL,Jimmy Johns,N00042575,H8FL06163
OH,Bill Johnson,N00032088,H0OH06189
FL,Dave Johnson,N00042806,H8FL15206
SD,Dusty Johnson,N00040559,H8SD01055
TX,Eddie Bernice Johnson,N00008122,H2TX00015
NY,Ernest Johnson,N00001080,H0NY11037
GA,Francys Johnson,N00042412,H8GA12078
GA,Hank Johnson,N00027848,H6GA04129
PA,Kevin Johnson,N00042493,H8PA01260
TX,Margarita Ruiz Johnson,N00042274,H8TX22271
LA,Mike Johnson,N00039106,H6LA04138
TX,Richard Johnson,N00042519,H8TX18188
TX,Sam Johnson,N00041193,H8TX03107
CA,Will Johnson,N00043128,H8CA46138
GA,Tabitha Johnson-Green,N00043150,H8GA10197
NJ,Goutam Jois,N00041682,H8NJ07215
FL,Mayra Joli,N00041942,H8FL27144
IL,Art Jones,N00038665,H6IL03148
MI,Brenda Jones,N00042648,H8MI13243
OH,Dennis Jones,N00039944,S8OH00078
AL,Doug Jones,N00024817,S0AL00156
IL,Erik Jones,N00041499,H8IL13168
TX,Gina Jones,N00041603,H8TX23121
MI,Jeff Jones,N00036457,H6MI12264
TX,Jimmy Darnell Jones,N00041402,H8TX02091
KS,Kevin Jones,N00041957,H8KS02181
FL,Lateresa Jones,N00035791,S6FL00277
VA,Mary Jones,N00041712,H8VA02079
NY,Rafael Arden Sr Jones,N00039068,S6NY00409
TX,Shawn Jones,N00042948,H8TX30050
NV,Stephanie Jones,N00042179,H8NV03234
OH,Ted Jones,N00042190,H8OH08071
NC,Walter B Jr Jones,N00002299,H2NC01081
OH,Jim Jordan,N00027894,H6OH04082
CA,Lawrence Jordan,N00042061,H8CA01232
NC,Brandon William Jorgensen,N00040223,H8NC09107
IN,Yatish Joshi,N00041952,H8IN02185
OH,David P Joyce,N00035007,H2OH14064
PA,John Joyce,N00043242,H8PA13125
NY,John Joseph Jr Joyner,N00042883,H8NY09166
FL,Ricky Junquera,N00041562,H8FL26047
VA,Ed Justo,N00043260,H8VA06179
CA,Ronald P Kabat,N00033182,H0CA17185
NJ,Mohammad Kabir,N00042163,H8NJ01226
CA,Richard Kahle,N00042793,H8CA50171
NY,Lynn Kahn,N00036962,H8NY21351
NY,Jon Kaiman,N00038743,H6NY03254
VA,Tim Kaine,N00033177,S2VA00142
PA,Jerry Kairnes,N00043241,H8PA12119
AR,Michael J Kalagias,N00043098,H8AR03090
WA,George H Kalberer,N00043626,S8WA00285
CA,Timothy Charles Kalemkarian,N00006887,S6CA00477
CA,Gino Kane,N00043009,H8CA53092
OH,Tim Kane,N00042485,H8OH12263
TN,Justin Kanew,N00041189,H8TN07068
GA,Bobby Kaple,N00041790,H8GA06369
OH,Marcy Kaptur,N00003522,H2OH09031
FL,Annisa Karim,N00043145,H8FL25023
PA,George Karpacs,N00042001,H8PA18223
NY,John Katko,N00035934,H4NY24073
FL,Joe Kaufman,N00033516,H2FL20043
NJ,Jim Keady,N00039559,H8NJ04162
LA,Howard Kearney,N00040242,H6LA01225
MA,Bill Keating,N00031933,H0MA10082
GA,Richard Keatley,N00040677,H8GA06211
MI,Linda Keefe,N00039794,H8MI08128
KS,Trevor Keegan,N00043506,H8KS03171
NJ,Mike Keeling,N00041153,H8NJ04170
OK,Mark Keeter,N00043364,H8OK01199
CA,Hans Keirstead,N00041078,H8CA48076
FL,Pam Keith,N00036907,H8FL18010
WA,Craig Keller,N00036659,H4WA07073
IL,Brendan Kelly,N00041341,H8IL12129
FL,Jeremy J Kelly,N00041780,H8FL06114
PA,Mike Kelly,N00031647,H0PA03271
IL,Robin Kelly,N00035215,H2IL02172
MT,Steve Kelly,N00043301,S8MT00283
MS,Trent Kelly,N00037003,H6MS01131
TX,Bill Kelsey,N00035976,H4TX10184
MA,Michael Kemp,N00042848,H8MA07040
KY,Daniel Kemph ,N00042638,H8KY06180
IL,Abigail Kennedy,N00041949,H8IL07111
CO,Chris Kennedy,N00041773,H8CO03200
MA,Joe III Kennedy,N00034044,H2MA04073
MN,Kirsten Kennedy,N00043330,H8MN08092
UT,Mike Kennedy,N00043086,S8UT00242
TX,Rick Kennedy,N00041704,H8TX17149
AL,Robert Jr Kennedy,N00041265,H8AL01066
CA,Kevin Thomas Kensinger,N00041766,H8CA48118
CO,Gaylon Kent,N00034006,H2CO03153
IN,Arturas Kerelis,N00041803,H8IN06111
IN,Bob Kern,N00003777,H0IN07199
TX,Debra Kerner,N00040833,H8TX07108
PA,Dale Kerns,N00040818,S8PA00254
CO,Andy Kerr,N00041084,H8CO07060
CA,Paul Kerr,N00041313,H8CA49066
MA,Stephen Kerrigan,N00041960,H8MA03155
MI,Klint Kesto,N00041825,H8MI11270
FL,Jamey Ketler,N00043321,H8FL15255
NJ,Agha Khan,N00039814,H6NJ08167
CA,Ro Khanna,N00026427,H4CA12055
CA,Ryan Khojasteh,N00041932,H8CA12254
TX,Ali Khorasani,N00041401,H8TX02083
UT,Damian Kidd,N00040767,H8UT03121
MO,John Kiehne,N00042456,H8MO03180
MT,Grant Kier,N00041833,H8MT00119
NV,Ruben Kihuen,N00033530,H2NV00050
MI,Dan Kildee,N00033395,H2MI05119
OH,Dan Kiley,N00042768,S8OH00110
WA,Derek Kilmer,N00034453,H2WA06129
NJ,Andy Kim,N00041370,H8NJ03206
CA,Bryan Kim,N00041769,H8CA53068
GA,David Kim,N00041098,H8GA07151
HI,Donna Mercado Kim,N00035724,H4HI01167
PA,Pearl Kim,N00043041,H8PA05295
NY,Ronald Kim,N00041687,H8NY21294
CA,Young Kim,N00042386,H8CA39240
FL,Nicolas Kimaz,N00042097,H8FL22061
SC,Josh Kimbrell,N00042913,H8SC04318
TX,Edward Kimbrough,N00042567,S8TX00376
WI,Ron Kind,N00004403,H6WI03099
IN,Susan Kindig,N00041955,H8IN05162
IL,Adam King,N00041651,H8IL12137
ME,Angus King,N00034580,S2ME00109
